"clave","titulo","tipo","doi","url","pdf_local","estado"
"pushkarna2022datacards","Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI","inproceedings","10.1145/3531146.3533231","https://facctconference.org/static/pdfs_2022/facct22-3533231.pdf","referencias_y_descargas/pushkarna2022datacards__pushkarna_2022_data-cards.pdf","pdf_oa_validado"
"pytorch2026bce","BCEWithLogitsLoss API","misc","","https://docs.pytorch.org/docs/stable/generated/torch.nn.BCEWithLogitsLoss.html","","documentacion_web_oficial_sin_pdf"
"qwen2025qwen3","Qwen3 Technical Report","article","10.48550/arXiv.2505.09388","https://arxiv.org/abs/2505.09388","referencias_y_descargas/qwen2025qwen3__yang_2025_qwen3-technical-report.pdf","pdf_oa_validado"
"reimers2019sbert","Sentence-BERT: Sentence Embeddings Using Siamese BERT-Networks","inproceedings","10.18653/v1/D19-1410","https://aclanthology.org/D19-1410/","referencias_y_descargas/reimers2019sbert__reimers_2019_sentence-bert.pdf","pdf_oa_validado"
"reimers2020multilingual","Making Monolingual Sentence Embeddings Multilingual Using Knowledge Distillation","inproceedings","10.18653/v1/2020.emnlp-main.365","https://aclanthology.org/2020.emnlp-main.365/","referencias_y_descargas/reimers2020multilingual__reimers_2020_multilingual-embeddings.pdf","pdf_oa_validado"
"rennie2003cnb","Tackling the Poor Assumptions of Naive Bayes Text Classifiers","inproceedings","","https://people.csail.mit.edu/jrennie/papers/icml03-nb.pdf","referencias_y_descargas/rennie2003cnb__rennie_2003_complement-naive-bayes.pdf","pdf_oa_validado"
"rodriguez2021exist","Overview of EXIST 2021: sEXism Identification in Social Networks","article","10.26342/2021-67-17","https://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/6389","referencias_y_descargas/rodriguez2021exist__rodriguez-sanchez_2021_exist.pdf","pdf_oa_validado"
"rottenbacher2012homofobia","Conservadurismo político, homofobia y prejuicio hacia grupos transgénero en una muestra de estudiantes y egresados universitarios de Lima","article","","https://www.redalyc.org/pdf/801/80124028002.pdf","referencias_y_descargas/rottenbacher2012homofobia__rottenbacher_2012_homofobia-transgenero.pdf","pdf_oa_validado"
"rottger2021hatecheck","HateCheck: Functional Tests for Hate Speech Detection Models","inproceedings","10.18653/v1/2021.acl-long.4","https://aclanthology.org/2021.acl-long.4/","referencias_y_descargas/rottger2021hatecheck__rottger_2021_hatecheck.pdf","pdf_oa_validado"
"saito2015pr","The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets","article","10.1371/journal.pone.0118432","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0118432","referencias_y_descargas/saito2015pr__saito_2015_precision-recall.pdf","pdf_oa_validado"
"salem2016amixer","Amixer está en Facebook: una investigación de la choledad virtual","article","","https://www.antropologiavisual.cl/sites/default/files/2016_27_art04_salem.pdf","referencias_y_descargas/salem2016amixer__salem_2016_amixer-facebook.pdf","pdf_oa_validado"
"salton1988tfidf","Term-Weighting Approaches in Automatic Text Retrieval","article","10.1016/0306-4573(88)90021-0","https://hdl.handle.net/1813/6721","","pdf_repositorio_oa_descarga_bloqueada_antibot"
"sap2019racialbias","The Risk of Racial Bias in Hate Speech Detection","inproceedings","10.18653/v1/P19-1163","https://aclanthology.org/P19-1163/","referencias_y_descargas/sap2019racialbias__sap_2019_racial-bias-hate-speech.pdf","pdf_oa_validado"
"schroeder2025llmassisted","Just Put a Human in the Loop? Investigating LLM-Assisted Annotation for Subjective Tasks","inproceedings","10.18653/v1/2025.findings-acl.1323","https://aclanthology.org/2025.findings-acl.1323/","referencias_y_descargas/schroeder2025llmassisted__schroeder_2025_llm-assisted-annotation.pdf","pdf_oa_validado"
"settles2009active","Active Learning Literature Survey","techreport","","https://minds.wisconsin.edu/handle/1793/60660","referencias_y_descargas/settles2009active__settles_2009_active-learning-survey.pdf","pdf_oa_validado"
"silla2011hierarchical","A Survey of Hierarchical Classification Across Different Application Domains","article","10.1007/s10618-010-0175-9","https://doi.org/10.1007/s10618-010-0175-9","referencias_y_descargas/silla2011hierarchical__silla_2011_hierarchical-classification-survey.pdf","pdf_oa_validado"
"sklearn2026averageprecision","scikit-learn Average Precision Score API","misc","","https://scikit-learn.org/stable/modules/generated/sklearn.metrics.average_precision_score.html","","documentacion_web_oficial_sin_pdf"
"sklearn2026groupkfold","scikit-learn GroupKFold API","misc","","https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.GroupKFold.html","","documentacion_web_oficial_sin_pdf"
"sklearn2026groupshufflesplit","scikit-learn GroupShuffleSplit API","misc","","https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.GroupShuffleSplit.html","","documentacion_web_oficial_sin_pdf"
"sokolova2009metrics","A Systematic Analysis of Performance Measures for Classification Tasks","article","10.1016/j.ipm.2009.03.002","https://doi.org/10.1016/j.ipm.2009.03.002","","pdf_autor_descarga_bloqueada_antibot"
"sparckjones1972idf","A Statistical Interpretation of Term Specificity and Its Application in Retrieval","article","10.1108/eb026526","https://doi.org/10.1108/eb026526","referencias_y_descargas/sparckjones1972idf__sparck-jones_1972_term-specificity-idf.pdf","pdf_oa_validado"
"srivastava2014dropout","Dropout: A Simple Way to Prevent Neural Networks from Overfitting","article","","https://www.jmlr.org/papers/v15/srivastava14a.html","referencias_y_descargas/srivastava2014dropout__srivastava_2014_dropout.pdf","pdf_oa_validado"
"tatman2017captions","Gender and Dialect Bias in YouTube's Automatic Captions","inproceedings","10.18653/v1/W17-1606","https://aclanthology.org/W17-1606/","referencias_y_descargas/tatman2017captions__tatman_2017_youtube-caption-bias.pdf","pdf_oa_validado"
