model_key,modelo,familia,diseno,split,categoria,positivos,recall,falsos_negativos,pr_auc
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_expanded,RACISMO_DISCRIMINACION,281,0.19572953736654805,226,0.1743627400352123
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.18092105263157895,249,0.12009634841641437
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_expanded,ACOSO_PERSONAL,464,0.19181034482758622,375,0.15145979103416074
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_expanded,AMENAZA_DIRECTA,96,0.23958333333333334,73,0.15084807973768852
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_expanded,CONTENIDO_SEXUAL,334,0.2904191616766467,237,0.2545864475234618
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_expanded,RACISMO_DISCRIMINACION,256,0.171875,212,0.14294394218717396
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.23574144486692014,201,0.16097983983640277
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_expanded,ACOSO_PERSONAL,435,0.2,348,0.15088492400599873
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_expanded,AMENAZA_DIRECTA,111,0.13513513513513514,96,0.09862373229444205
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_expanded,CONTENIDO_SEXUAL,335,0.2656716417910448,246,0.2825134026158437
